event_id,item_id,sidx,loss
1,38,-2,0.0
1,38,1,15000000.0
1,39,-1,20000000.0
1,39,-2,0.0
1,39,1,20000000.0
1,40,-1,25000000.0
1,40,-2,0.0
1,40,1,25000000.0
1,41,-1,10000000.0
1,41,-2,0.0
1,41,1,10000000.0
1,42,-1,15000000.0
1,42,-2,0.0
1,42,1,15000000.0
1,43,-1,20000000.0
1,43,-2,0.0
1,43,1,20000000.0
1,44,-1,25000000.0
1,44,-2,0.0
1,44,1,25000000.0
1,45,-1,10000000.0
1,45,-2,0.0
1,45,1,10000000.0
1,46,-1,15000000.0
1,46,-2,0.0
1,46,1,15000000.0
1,47,-1,20000000.0
1,47,-2,0.0
1,47,1,20000000.0
1,48,-1,25000000.0
1,48,-2,0.0
1,48,1,25000000.0
1,49,-1,10000000.0
1,49,-2,0.0
1,49,1,10000000.0
1,50,-1,15000000.0
1,50,-2,0.0
1,50,1,15000000.0
1,51,-1,20000000.0
1,51,-2,0.0
1,51,1,20000000.0
1,52,-1,25000000.0
1,52,-2,0.0
1,52,1,25000000.0
1,53,-1,10000000.0
1,53,-2,0.0
1,53,1,10000000.0
1,54,-1,15000000.0
1,54,-2,0.0
1,54,1,15000000.0
1,55,-1,20000000.0
1,55,-2,0.0
1,55,1,20000000.0
1,56,-1,25000000.0
1,56,-2,0.0
1,56,1,25000000.0
1,57,-1,10000000.0
1,57,-2,0.0
1,57,1,10000000.0
1,58,-1,15000000.0
1,58,-2,0.0
1,58,1,15000000.0
1,59,-1,20000000.0
1,59,-2,0.0
1,59,1,20000000.0
1,60,-1,25000000.0
1,60,-2,0.0
1,60,1,25000000.0
1,61,-1,10000000.0
1,61,-2,0.0
1,61,1,10000000.0
1,62,-1,15000000.0
1,62,-2,0.0
1,62,1,15000000.0
1,63,-1,20000000.0
1,63,-2,0.0
1,63,1,20000000.0
1,64,-1,25000000.0
1,64,-2,0.0
1,64,1,25000000.0
1,65,-1,10000000.0
1,65,-2,0.0
1,65,1,10000000.0
1,66,-1,15000000.0
1,66,-2,0.0
1,66,1,15000000.0
1,67,-1,20000000.0
1,67,-2,0.0
1,67,1,20000000.0
1,68,-1,25000000.0
1,68,-2,0.0
1,68,1,25000000.0
1,69,-1,10000000.0
1,69,-2,0.0
1,69,1,10000000.0
1,70,-1,15000000.0
1,70,-2,0.0
1,70,1,15000000.0
1,71,-1,20000000.0
1,71,-2,0.0
1,71,1,20000000.0
1,72,-1,25000000.0
1,72,-2,0.0
1,72,1,25000000.0
1,73,-1,10000000.0
1,73,-2,0.0
1,73,1,10000000.0
1,74,-1,15000000.0
1,74,-2,0.0
1,74,1,15000000.0
1,75,-1,20000000.0
1,75,-2,0.0
1,75,1,20000000.0
1,76,-1,25000000.0
1,76,-2,0.0
1,76,1,25000000.0
1,77,-1,10000000.0
1,77,-2,0.0
1,77,1,10000000.0
1,78,-1,15000000.0
1,78,-2,0.0
1,78,1,15000000.0
1,79,-1,20000000.0
1,79,-2,0.0
1,79,1,20000000.0
1,80,-1,25000000.0
1,80,-2,0.0
1,80,1,25000000.0
1,81,-1,10000000.0
1,81,-2,0.0
1,81,1,10000000.0
1,82,-1,15000000.0
1,82,-2,0.0
1,82,1,15000000.0
1,83,-1,20000000.0
1,83,-2,0.0
1,83,1,20000000.0
1,84,-1,25000000.0
1,84,-2,0.0
1,84,1,25000000.0
1,85,-1,10000000.0
1,85,-2,0.0
1,85,1,10000000.0
1,86,-1,15000000.0
1,86,-2,0.0
1,86,1,15000000.0
1,87,-1,20000000.0
1,87,-2,0.0
1,87,1,20000000.0
1,88,-1,25000000.0
1,88,-2,0.0
1,88,1,25000000.0
1,89,-1,10000000.0
1,89,-2,0.0
1,89,1,10000000.0
1,90,-1,15000000.0
1,90,-2,0.0
1,90,1,15000000.0
1,91,-1,20000000.0
1,91,-2,0.0
1,91,1,20000000.0
1,92,-1,25000000.0
1,92,-2,0.0
1,92,1,25000000.0
1,93,-1,10000000.0
1,93,-2,0.0
1,93,1,10000000.0
1,94,-1,15000000.0
1,94,-2,0.0
1,94,1,15000000.0
1,95,-1,20000000.0
1,95,-2,0.0
1,95,1,20000000.0
1,96,-1,25000000.0
1,96,-2,0.0
1,96,1,25000000.0
1,97,-1,10000000.0
1,97,-2,0.0
1,97,1,10000000.0
1,98,-1,15000000.0
1,98,-2,0.0
1,98,1,15000000.0
1,99,-1,20000000.0
1,99,-2,0.0
1,99,1,20000000.0
1,100,-1,25000000.0
1,100,-2,0.0
1,100,1,25000000.0
1,101,-1,10000000.0
1,101,-2,0.0
1,101,1,10000000.0
1,102,-1,15000000.0
1,102,-2,0.0
1,102,1,15000000.0
1,103,-1,20000000.0
1,103,-2,0.0
1,103,1,20000000.0
1,104,-1,25000000.0
1,104,-2,0.0
1,104,1,25000000.0
1,105,-1,10000000.0
1,105,-2,0.0
1,105,1,10000000.0
1,106,-1,15000000.0
1,106,-2,0.0
1,106,1,15000000.0
1,107,-1,20000000.0
1,107,-2,0.0
1,107,1,20000000.0
1,108,-1,25000000.0
1,108,-2,0.0
1,108,1,25000000.0
1,109,-1,10000000.0
1,109,-2,0.0
1,109,1,10000000.0
1,110,-1,15000000.0
1,110,-2,0.0
1,110,1,15000000.0
1,111,-1,20000000.0
1,111,-2,0.0
1,111,1,20000000.0
1,112,-1,25000000.0
1,112,-2,0.0
1,112,1,25000000.0
1,113,-1,10000000.0
1,113,-2,0.0
1,113,1,10000000.0
1,114,-1,15000000.0
1,114,-2,0.0
1,114,1,15000000.0
1,115,-1,20000000.0
1,115,-2,0.0
1,115,1,20000000.0
1,116,-1,25000000.0
1,116,-2,0.0
1,116,1,25000000.0
1,117,-1,10000000.0
1,117,-2,0.0
1,117,1,10000000.0
1,118,-1,15000000.0
1,118,-2,0.0
1,118,1,15000000.0
1,119,-1,20000000.0
1,119,-2,0.0
1,119,1,20000000.0
1,120,-1,25000000.0
1,120,-2,0.0
1,120,1,25000000.0
1,121,-1,10000000.0
1,121,-2,0.0
1,121,1,10000000.0
1,122,-1,15000000.0
1,122,-2,0.0
1,122,1,15000000.0
1,123,-1,20000000.0
1,123,-2,0.0
1,123,1,20000000.0
1,124,-1,25000000.0
1,124,-2,0.0
1,124,1,25000000.0
1,125,-1,10000000.0
1,125,-2,0.0
1,125,1,10000000.0
1,126,-1,15000000.0
1,126,-2,0.0
1,126,1,15000000.0
1,127,-1,20000000.0
1,127,-2,0.0
1,127,1,20000000.0
1,128,-1,25000000.0
1,128,-2,0.0
1,128,1,25000000.0
1,129,-1,10000000.0
1,129,-2,0.0
1,129,1,10000000.0
1,130,-1,15000000.0
1,130,-2,0.0
1,130,1,15000000.0
1,131,-1,20000000.0
1,131,-2,0.0
1,131,1,20000000.0
1,132,-1,25000000.0
1,132,-2,0.0
1,132,1,25000000.0
1,133,-1,10000000.0
1,133,-2,0.0
1,133,1,10000000.0
1,134,-1,15000000.0
1,134,-2,0.0
1,134,1,15000000.0
1,135,-1,20000000.0
1,135,-2,0.0
1,135,1,20000000.0
1,136,-1,25000000.0
1,136,-2,0.0
1,136,1,25000000.0
1,137,-1,10000000.0
1,137,-2,0.0
1,137,1,10000000.0
1,138,-1,15000000.0
1,138,-2,0.0
1,138,1,15000000.0
1,139,-1,20000000.0
1,139,-2,0.0
1,139,1,20000000.0
1,140,-1,25000000.0
1,140,-2,0.0
1,140,1,25000000.0
1,141,-1,10000000.0
1,141,-2,0.0
1,141,1,10000000.0
1,142,-1,15000000.0
1,142,-2,0.0
1,142,1,15000000.0
1,143,-1,20000000.0
1,143,-2,0.0
1,143,1,20000000.0
1,144,-1,25000000.0
1,144,-2,0.0
1,144,1,25000000.0
1,145,-1,10000000.0
1,145,-2,0.0
1,145,1,10000000.0
1,146,-1,15000000.0
1,146,-2,0.0
1,146,1,15000000.0
1,147,-1,20000000.0
1,147,-2,0.0
1,147,1,20000000.0
1,148,-1,25000000.0
1,148,-2,0.0
1,148,1,25000000.0
1,149,-1,10000000.0
1,149,-2,0.0
1,149,1,10000000.0
1,150,-1,15000000.0
1,150,-2,0.0
1,150,1,15000000.0
1,151,-1,20000000.0
1,151,-2,0.0
1,151,1,20000000.0
1,152,-1,25000000.0
1,152,-2,0.0
1,152,1,25000000.0
1,153,-1,10000000.0
1,153,-2,0.0
1,153,1,10000000.0
1,154,-1,15000000.0
1,154,-2,0.0
1,154,1,15000000.0
1,155,-1,20000000.0
1,155,-2,0.0
1,155,1,20000000.0
1,156,-1,25000000.0
1,156,-2,0.0
1,156,1,25000000.0
1,157,-1,10000000.0
1,157,-2,0.0
1,157,1,10000000.0
1,158,-1,15000000.0
1,158,-2,0.0
1,158,1,15000000.0
1,159,-1,20000000.0
1,159,-2,0.0
1,159,1,20000000.0
1,160,-1,25000000.0
1,160,-2,0.0
1,160,1,25000000.0
1,161,-1,10000000.0
1,161,-2,0.0
1,161,1,10000000.0
1,162,-1,15000000.0
1,162,-2,0.0
1,162,1,15000000.0
1,163,-1,20000000.0
1,163,-2,0.0
1,163,1,20000000.0
1,164,-1,25000000.0
1,164,-2,0.0
1,164,1,25000000.0
1,165,-1,10000000.0
1,165,-2,0.0
1,165,1,10000000.0
1,166,-1,15000000.0
1,166,-2,0.0
1,166,1,15000000.0
1,167,-1,20000000.0
1,167,-2,0.0
1,167,1,20000000.0
1,168,-1,25000000.0
1,168,-2,0.0
1,168,1,25000000.0
1,169,-1,10000000.0
1,169,-2,0.0
1,169,1,10000000.0
1,170,-1,15000000.0
1,170,-2,0.0
1,170,1,15000000.0
1,171,-1,20000000.0
1,171,-2,0.0
1,171,1,20000000.0
1,172,-1,25000000.0
1,172,-2,0.0
1,172,1,25000000.0
1,173,-1,10000000.0
1,173,-2,0.0
1,173,1,10000000.0
1,174,-1,15000000.0
1,174,-2,0.0
1,174,1,15000000.0
1,175,-1,20000000.0
1,175,-2,0.0
1,175,1,20000000.0
1,176,-1,25000000.0
1,176,-2,0.0
1,176,1,25000000.0
1,177,-1,10000000.0
1,177,-2,0.0
1,177,1,10000000.0
1,178,-1,15000000.0
1,178,-2,0.0
1,178,1,15000000.0
1,179,-1,20000000.0
1,179,-2,0.0
1,179,1,20000000.0
1,180,-1,25000000.0
1,180,-2,0.0
1,180,1,25000000.0
1,181,-1,10000000.0
1,181,-2,0.0
1,181,1,10000000.0
1,182,-1,15000000.0
1,182,-2,0.0
1,182,1,15000000.0
1,183,-1,20000000.0
1,183,-2,0.0
1,183,1,20000000.0
1,184,-1,25000000.0
1,184,-2,0.0
1,184,1,25000000.0
1,185,-1,10000000.0
1,185,-2,0.0
1,185,1,10000000.0
1,186,-1,15000000.0
1,186,-2,0.0
1,186,1,15000000.0
1,187,-1,20000000.0
1,187,-2,0.0
1,187,1,20000000.0
1,188,-1,25000000.0
1,188,-2,0.0
1,188,1,25000000.0
1,189,-1,10000000.0
1,189,-2,0.0
1,189,1,10000000.0
1,190,-1,15000000.0
1,190,-2,0.0
1,190,1,15000000.0
1,191,-1,20000000.0
1,191,-2,0.0
1,191,1,20000000.0
1,192,-1,25000000.0
1,192,-2,0.0
1,192,1,25000000.0
1,193,-1,10000000.0
1,193,-2,0.0
1,193,1,10000000.0
1,194,-1,15000000.0
1,194,-2,0.0
1,194,1,15000000.0
1,195,-1,20000000.0
1,195,-2,0.0
1,195,1,20000000.0
1,196,-1,25000000.0
1,196,-2,0.0
1,196,1,25000000.0
1,197,-1,10000000.0
1,197,-2,0.0
1,197,1,10000000.0
1,198,-1,15000000.0
1,198,-2,0.0
1,198,1,15000000.0
1,199,-1,20000000.0
1,199,-2,0.0
1,199,1,20000000.0
1,200,-1,25000000.0
1,200,-2,0.0
1,200,1,25000000.0
1,201,-1,10000000.0
1,201,-2,0.0
1,201,1,10000000.0
1,202,-1,15000000.0
1,202,-2,0.0
1,202,1,15000000.0
1,203,-1,20000000.0
1,203,-2,0.0
1,203,1,20000000.0
1,204,-1,25000000.0
1,204,-2,0.0
1,204,1,25000000.0
1,205,-1,10000000.0
1,205,-2,0.0
1,205,1,10000000.0
1,206,-1,15000000.0
1,206,-2,0.0
1,206,1,15000000.0
1,207,-1,20000000.0
1,207,-2,0.0
1,207,1,20000000.0
1,208,-1,25000000.0
1,208,-2,0.0
1,208,1,25000000.0
1,209,-1,10000000.0
1,209,-2,0.0
1,209,1,10000000.0
1,210,-1,15000000.0
1,210,-2,0.0
1,210,1,15000000.0
1,211,-1,20000000.0
1,211,-2,0.0
1,211,1,20000000.0
1,212,-1,25000000.0
1,212,-2,0.0
1,212,1,25000000.0
1,213,-1,10000000.0
1,213,-2,0.0
1,213,1,10000000.0
1,214,-1,15000000.0
1,214,-2,0.0
1,214,1,15000000.0
1,215,-1,20000000.0
1,215,-2,0.0
1,215,1,20000000.0
1,216,-1,25000000.0
1,216,-2,0.0
1,216,1,25000000.0
1,217,-1,10000000.0
1,217,-2,0.0
1,217,1,10000000.0
1,218,-1,15000000.0
1,218,-2,0.0
1,218,1,15000000.0
1,219,-1,20000000.0
1,219,-2,0.0
1,219,1,20000000.0
1,220,-1,25000000.0
1,220,-2,0.0
1,220,1,25000000.0
1,221,-1,10000000.0
1,221,-2,0.0
1,221,1,10000000.0
1,222,-1,15000000.0
1,222,-2,0.0
1,222,1,15000000.0
1,223,-1,20000000.0
1,223,-2,0.0
1,223,1,20000000.0
1,224,-1,25000000.0
1,224,-2,0.0
1,224,1,25000000.0
1,225,-1,10000000.0
1,225,-2,0.0
1,225,1,10000000.0
1,226,-1,15000000.0
1,226,-2,0.0
1,226,1,15000000.0
1,227,-1,20000000.0
1,227,-2,0.0
1,227,1,20000000.0
1,228,-1,25000000.0
1,228,-2,0.0
1,228,1,25000000.0
1,229,-1,10000000.0
1,229,-2,0.0
1,229,1,10000000.0
1,230,-1,15000000.0
1,230,-2,0.0
1,230,1,15000000.0
1,231,-1,20000000.0
1,231,-2,0.0
1,231,1,20000000.0
1,232,-1,25000000.0
1,232,-2,0.0
1,232,1,25000000.0
1,233,-1,10000000.0
1,233,-2,0.0
1,233,1,10000000.0
1,234,-1,15000000.0
1,234,-2,0.0
1,234,1,15000000.0
1,235,-1,20000000.0
1,235,-2,0.0
1,235,1,20000000.0
1,236,-1,25000000.0
1,236,-2,0.0
1,236,1,25000000.0
1,237,-1,10000000.0
1,237,-2,0.0
1,237,1,10000000.0
1,238,-1,15000000.0
1,238,-2,0.0
1,238,1,15000000.0
1,239,-1,20000000.0
1,239,-2,0.0
1,239,1,20000000.0
1,240,-1,25000000.0
1,240,-2,0.0
1,240,1,25000000.0
1,241,-1,10000000.0
1,241,-2,0.0
1,241,1,10000000.0
1,242,-1,15000000.0
1,242,-2,0.0
1,242,1,15000000.0
1,243,-1,20000000.0
1,243,-2,0.0
1,243,1,20000000.0
1,244,-1,25000000.0
1,244,-2,0.0
1,244,1,25000000.0
1,245,-1,10000000.0
1,245,-2,0.0
1,245,1,10000000.0
1,246,-1,15000000.0
1,246,-2,0.0
1,246,1,15000000.0
1,247,-1,20000000.0
1,247,-2,0.0
1,247,1,20000000.0
1,248,-1,25000000.0
1,248,-2,0.0
1,248,1,25000000.0
1,249,-1,10000000.0
1,249,-2,0.0
1,249,1,10000000.0
1,250,-1,15000000.0
1,250,-2,0.0
1,250,1,15000000.0
1,251,-1,20000000.0
1,251,-2,0.0
1,251,1,20000000.0
1,252,-1,25000000.0
1,252,-2,0.0
1,252,1,25000000.0
1,253,-1,10000000.0
1,253,-2,0.0
1,253,1,10000000.0
1,254,-1,15000000.0
1,254,-2,0.0
1,254,1,15000000.0
1,255,-1,20000000.0
1,255,-2,0.0
1,255,1,20000000.0
1,256,-1,25000000.0
1,256,-2,0.0
1,256,1,25000000.0
